forecast_item,date,volume,reg_name,reg_value
FI: 592905,2015-01-01,7569,0,0
FI: 592905,2015-02-01,6574,0,0
FI: 592905,2015-03-01,7481,0,0
FI: 592905,2015-04-01,7237,0,0
FI: 592905,2015-05-01,6265,0,0
FI: 592905,2015-06-01,7139,0,0
FI: 592905,2015-07-01,6651,0,0
FI: 592905,2015-08-01,6902,0,0
FI: 592905,2015-09-01,7580,0,0
FI: 592905,2015-10-01,7252,0,0
FI: 592905,2015-11-01,7283,0,0
FI: 592905,2015-12-01,8885,0,0
FI: 592905,2016-01-01,5979,0,0
FI: 592905,2016-02-01,6663,0,0
FI: 592905,2016-03-01,6746,0,0
FI: 592905,2016-04-01,6820,0,0
FI: 592905,2016-05-01,6507,0,0
FI: 592905,2016-06-01,6744,0,0
FI: 592905,2016-07-01,5369,0,0
FI: 592905,2016-08-01,7506,0,0
FI: 592905,2016-09-01,7367,0,0
FI: 592905,2016-10-01,6916,0,0
FI: 592905,2016-11-01,7412,0,0
FI: 592905,2016-12-01,7636,0,0
FI: 592905,2017-01-01,7514,0,0
FI: 592905,2017-02-01,6520,0,0
FI: 592905,2017-03-01,7273,0,0
FI: 592905,2017-04-01,6040,0,0
FI: 592905,2017-05-01,7580,0,0
FI: 592905,2017-06-01,6954,0,0
FI: 592905,2017-07-01,6168,0,0
FI: 592905,2017-08-01,7034,0,0
FI: 592905,2017-09-01,7006,0,0
FI: 592905,2017-10-01,7309,0,0
FI: 592905,2017-11-01,7333,0,0
FI: 592905,2017-12-01,7825,0,0
FI: 592905,2018-01-01,8804,FI: 592905-Other1,1
FI: 592905,2018-02-01,6150,0,0
FI: 592905,2018-03-01,6930,0,0
FI: 592905,2018-04-01,6339,0,0
FI: 592905,2018-05-01,7285,0,0
FI: 592905,2018-06-01,6461,0,0
FI: 592905,2018-07-01,6349,0,0
FI: 592905,2018-08-01,7400,0,0
FI: 592905,2018-09-01,6637,0,0
FI: 592905,2018-10-01,7389,0,0
FI: 592905,2018-11-01,7575,0,0
FI: 592905,2018-12-01,7410,0,0
FI: 592905,2019-01-01,6882,0,0
FI: 592905,2019-02-01,6551,0,0
FI: 592905,2019-03-01,7045,0,0
FI: 592905,2019-04-01,9020,FI: 592905-Competitor OOS1,1
FI: 592905,2019-05-01,9353,FI: 592905-Competitor OOS1,1
FI: 592905,2019-06-01,6637,0,0
FI: 592905,2019-07-01,7145,0,0
FI: 592905,2019-08-01,7404,0,0
FI: 592905,2019-09-01,7213,0,0
FI: 592905,2019-10-01,7832,0,0
FI: 592905,2019-11-01,7270,0,0
FI: 592905,2019-12-01,8514,0,0
FI: 592905,2020-01-01,7412,0,0
FI: 592905,2020-02-01,6724,0,0
FI: 592905,2020-03-01,7877,0,0
FI: 592905,2020-04-01,6919,0,0
FI: 592905,2020-05-01,2534,FI: 592905 - OOS 2,1
FI: 592905,2020-06-01,8856,FI: 592905 - OOS 2,-1
FI: 592905,2020-07-01,6863,0,0
NO: 249007,2014-11-01,1944,0,0
NO: 249007,2014-12-01,4316,0,0
NO: 249007,2015-01-01,3978,0,0
NO: 249007,2015-02-01,2968,0,0
NO: 249007,2015-03-01,3278,0,0
NO: 249007,2015-04-01,2386,0,0
NO: 249007,2015-05-01,2610,0,0
NO: 249007,2015-06-01,3760,0,0
NO: 249007,2015-07-01,2910,0,0
NO: 249007,2015-08-01,2943,0,0
NO: 249007,2015-09-01,3460,0,0
NO: 249007,2015-10-01,2896,0,0
NO: 249007,2015-11-01,2716,0,0
NO: 249007,2015-12-01,3586,0,0
NO: 249007,2016-01-01,2570,0,0
NO: 249007,2016-02-01,3144,0,0
NO: 249007,2016-03-01,3220,0,0
NO: 249007,2016-04-01,2675,0,0
NO: 249007,2016-05-01,3225,0,0
NO: 249007,2016-06-01,2850,0,0
NO: 249007,2016-07-01,3070,0,0
NO: 249007,2016-08-01,2373,0,0
NO: 249007,2016-09-01,2955,0,0
NO: 249007,2016-10-01,2682,0,0
NO: 249007,2016-11-01,3016,0,0
NO: 249007,2016-12-01,2960,0,0
